Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
NZL,1965,180212.25889755905,21.109,78.89099999999999,38041.00573068574,142171.2531668733
NZL,1966,180212.25889755905,20.579,79.42099999999999,37085.88075852868,143126.37813903036
NZL,1967,180212.25889755905,20.148,79.852,36309.16592268019,143903.09297487885
NZL,1968,180212.25889755905,19.723,80.277,35543.26382236557,144668.99507519347
NZL,1969,180212.25889755905,19.305,80.695,34789.976580173774,145422.28231738525
NZL,1970,180212.25889755905,18.894,81.106,34049.30419610481,146162.95470145423
NZL,1971,180212.25889755905,18.509,81.491,33355.4869993492,146856.77189820984
NZL,1972,180212.25889755905,18.181,81.819,32764.39079016521,147447.86810739382
NZL,1973,180212.25889755905,17.859,82.14099999999999,32184.107316515074,148028.15158104396
NZL,1974,18574.0,17.54,82.46000000000001,3257.8796,15316.120400000002
NZL,1975,20320.0,17.226,82.774,3500.3232,16819.6768
NZL,1976,21176.0,16.972,83.02799999999999,3593.9907200000002,17582.00928
NZL,1977,21517.0,16.872,83.128,3630.3482400000003,17886.65176
NZL,1978,21957.0,16.771,83.229,3682.40847,18274.591529999998
NZL,1979,21877.0,16.672,83.328,3647.3334400000003,18229.66656
NZL,1980,22356.0,16.572,83.428,3704.8363199999994,18651.16368
NZL,1981,23234.0,16.489,83.511,3831.0542600000003,19402.94574
NZL,1982,24606.0,16.448,83.55199999999999,4047.1948800000005,20558.805119999997
NZL,1983,26121.0,16.408,83.592,4285.93368,21835.06632
NZL,1984,27060.0,16.367,83.633,4428.9102,22631.089799999998
NZL,1985,27306.0,16.327,83.673,4458.250620000001,22847.749379999997
NZL,1986,28204.0,16.22,83.78,4574.6888,23629.3112
NZL,1987,28864.0,15.975,84.025,4611.024,24252.976000000002
NZL,1988,29695.0,15.732,84.268,4671.617399999999,25023.3826
NZL,1989,30552.0,15.494,84.506,4733.72688,25818.27312
NZL,1990,31459.0,15.258,84.742,4800.01422,26658.985780000003
NZL,1991,32410.0,15.05,84.95,4877.705,27532.295000000002
NZL,1992,31932.0,14.897,85.103,4756.91004,27175.089959999998
NZL,1993,33359.0,14.746,85.254,4919.1181400000005,28439.88186
NZL,1994,34027.0,14.596,85.404,4966.58092,29060.419079999996
NZL,1995,35250.0,14.447,85.553,5092.567499999999,30157.4325
NZL,1996,35561.0,14.3,85.7,5085.223000000001,30475.777
NZL,1997,35992.0,14.219,85.781,5117.702479999999,30874.297520000004
NZL,1998,36579.0,14.139,85.861,5171.90481,31407.095190000004
NZL,1999,36643.0,14.059,85.941,5151.63937,31491.36063
NZL,2000,38070.0,13.979,86.021,5321.8053,32748.1947
NZL,2001,38219.0,13.9,86.1,5312.441000000001,32906.559
NZL,2002,39386.0,13.839,86.161,5450.628540000001,33935.37146
